x_px,y_px,r_px
178,444,17
432,746,17
468,236,17
408,762,17
750,452,16
244,348,8
246,706,17
447,306,17
410,734,16
474,363,13
603,342,11
463,433,6
183,673,16
741,494,12
177,376,13
211,696,17
425,466,11
293,416,6
746,387,14
99,468,11
351,142,8
429,776,16
508,517,11
398,318,9
222,138,11
341,755,9
376,587,9
470,317,17
636,328,17
738,321,11
523,290,9
397,464,14
712,274,11
639,180,12
752,412,11
447,254,13
729,298,11
382,377,10
650,463,9
114,536,6
449,537,9
293,631,6
471,601,8
379,750,14
286,729,11
430,718,9
377,652,8
254,261,6
166,467,6
326,374,14
548,424,14
402,281,8
